year,country,life_evaluation,gdp_per_capita,pm2_5,intentional_homicide_rate,healthy_life_expectancy,degree_of_urbanization,sdg_index_score
2011,Afghanistan,4.258,2757.052587477253,41.9026051489319,4.19453539608613,50.93310189,79.197,37.89358036796536
2011,Albania,5.134,12153.06365917855,21.9489443809331,4.87720435898422,67.00329306,62.579,69.26289697181903
2011,Algeria,5.368,14641.964093568453,15.9157535272917,0.758738181010027,65.35785983,77.002,69.14321018589254
2011,Angola,4.178,11034.591968781438,21.5236235344248,4.35620071002768,51.05446448,71.739,51.35704564977507
2011,Argentina,6.242,29425.759387608403,15.7163051408834,6.01715853502966,65.96714709,85.301,70.78391580510993
2011,Armenia,4.474,10990.177099035007,26.4617308757386,2.42878652522919,64.57398915,76.89,71.09339866071429
2011,Australia,7.345,53257.047323760315,5.4379673679775,1.10321388892905,69.65596114,80.457,75.12525789831088
2011,Austria,7.227,61272.172466289885,16.7900255714223,0.917401680155648,69.6239956,56.31,82.90816157106784
2011,Azerbaijan,4.582,19358.077810034483,23.504172387075702,2.27956547808754,62.40031259,77.17,68.99386676587302
2011,Bahrain,5.568,53132.3284162611,54.6856108835961,0.994424592783129,64.54082046,97.786,58.10569126984127
2011,Bangladesh,4.807,4352.42643359325,69.2015582728483,2.58218128044816,61.53790024,97.147,56.60192476445123
2011,Belarus,5.566,25404.756608241158,17.2267917168315,3.93761674954488,61.84040702,72.006,75.3064911276224
2011,Belgium,7.113,56585.302500067955,16.5866346122343,,68.80474986,77.325,77.52049275854864
2011,Belize,6.451,11641.771737570321,18.1926127367792,37.8859632506156,64.39294465,59.3,66.53521445972328
2011,Benin,3.493,2732.0124964795677,38.2689360574171,,53.49516066,71.513,51.28485639589169
2011,Bolivia,5.633,9554.445025129997,30.2808785160905,,,,62.7132740981241
2011,Bosnia and Herzegovina,4.857,12487.649056603703,34.5560460093254,1.36298129441799,66.94670309,52.05,69.41800739962653
2011,Botswana,4.581,15236.718884352216,15.5405259285874,,50.75329531,69.362,57.95965178571429
2011,Brazil,6.697,18627.81045293967,15.0149383266817,26.7470983503833,63.25101288,78.427,70.07098017570665
2011,Bulgaria,3.889,22321.033168818998,30.8419877010684,1.73441146879584,64.84955708,60.141,73.38424528478059
2011,Burkina Faso,3.926,1939.866599894059,42.704603891547,0.55963484448214,51.66966859,49.145,48.12507261904761
2011,Burundi,3.678,991.6598816668724,40.8879781915218,,52.65954088,74.167,52.0121021329365
2011,Cambodia,4.101,3921.979115633081,21.1793343979383,1.82033262639221,59.15056359,65.897,54.21390772907648
2011,Cameroon,4.376,4307.851955585272,52.6477399727018,4.12706343595528,50.05536433,73.442,51.74185457940752
2011,Canada,7.499,53681.10848093447,7.40657220393887,1.76238467720832,70.02853914,75.099,77.22967282913164
2011,Central African Republic,3.568,1517.1483909101112,39.2225449652738,,42.99058628,,39.03691192956349
2011,Chad,3.919,2741.070833994096,44.8699679772776,,48.87551706,53.041,38.17532256944445
2011,Chile,6.128,25372.27414807724,23.8820538505398,3.66532251337043,68.36719666,80.724,75.0958737076649
2011,China,4.68,11404.917983554236,52.7272298089351,0.883293080721741,66.81696284,83.032,66.62370038784745
2011,Colombia,6.202,14852.369951306107,19.4233780082529,35.6322084408409,66.81985658,79.375,67.4151205818691
2011,Comoros,3.7,3293.8340766840897,11.0582673035185,,57.81647363,80.448,50.37146316526611
2011,Congo,3.82,,,,53.20388376,87.878,
2011,Costa Rica,7.251,19264.456646177645,19.3112349144129,10.282368146525,69.18762856,73.225,70.74105749936338
2011,Croatia,5.623,28769.02294908822,24.2670565479156,1.14463944324737,67.24932529,55.159,76.03317749766575
2011,Cuba,5.418,,10.5030793327199,4.72500681542416,68.49445256,83.434,76.35576169312169
2011,Cyprus,6.416,41212.6875,23.6802164434596,0.785002954663899,70.40229958,73.816,72.94358576815343
2011,Czechia,6.36,39708.16262801955,20.5894906583766,0.81939793117267,67.28853165,59.372,79.62590076069763
2011,Côte d’Ivoire,4.197,,,,,,
2011,DR Congo,3.984,,,,,,
2011,Denmark,7.856,60391.779933220576,13.4610916735072,0.825726922413442,69.0239629,63.355,83.42188172481113
2011,Djibouti,4.957,,43.7035416781021,,54.9337524,90.307,49.07448074229691
2011,Dominican Republic,5.036,15258.085814850285,12.37191949007,25.2674003329003,64.34410881,84.845,66.5506669149478
2011,Ecuador,5.425,12449.078554921784,18.9757073503174,15.2875203821371,65.87894631,76.117,65.79125485527544
2011,Egypt,4.853,,,,61.33617475,96.488,
2011,El Salvador,5.956,8945.931329700064,31.7764794212371,71.7719022936632,64.40046295,76.703,63.88268238265003
2011,Estonia,5.33,32453.100847670903,8.57915434602602,4.89694750660617,66.33367241,63.383,76.8220578134284
2011,Ethiopia,4.064,1492.5339646994307,25.2350078828693,,55.96727913,57.2,47.62315659722223
2011,Finland,7.579,55053.39068503226,6.90854689697724,2.04148255432524,68.91819484,59.196,85.36711360698125
2011,France,6.746,50085.68297791092,15.4920531594036,1.34308688468283,69.96634497,62.191,79.62488398692811
2011,Georgia,3.892,12288.682886115614,19.044926700640602,,63.45704886,64.738,67.7524304176216
2011,Germany,6.572,57950.95897296767,15.4585841988169,0.91271260058552,69.09884746,72.235,80.52063204312027
2011,Ghana,4.705,5005.367324981874,30.3930045479609,1.62099472513754,54.88318904,74.78,57.88319397334693
2011,Greece,6.133,33906.49174356758,18.8826332091494,1.65633803374762,69.21048122,67.39,74.9162777820219
2011,Guatemala,6.277,10032.093282970902,31.96363951634,38.4055692334411,61.39007406,72.983,57.22500847975555
2011,Guinea,4.171,2673.40873029955,30.5038550590595,,51.26526446,50.426,47.99501078431372
2011,Guyana,5.993,10958.85988384375,17.0102709095446,17.4227001700724,57.11145549,72.999,62.54087278499277
2011,Haiti,3.789,3300.874441051747,14.1411517955388,9.21844574684968,52.85756286,78.743,46.10721881207029
2011,Honduras,5.564,5488.433715963321,33.3998623380405,83.17933330780821,61.60674587,54.386,58.31024766997707
2011,Hong Kong SAR of China,5.424,,,,,,
2011,Hungary,4.943,28415.117344289698,23.5710586394975,1.45777335776427,65.27843027,62.676,79.20935797882673
2011,Iceland,6.888,57837.860459941294,5.11666915910621,0.940035157314884,70.84840583,73.856,81.06394617180204
2011,India,4.975,5098.674587754443,55.0258281992835,3.77728016164146,58.23393254,80.78,57.57421958450047
2011,Indonesia,5.159,9274.969551817021,19.8110740394032,,61.68660325,85.275,62.837770821662
2011,Iran,5.149,,,,,,
2011,Iraq,4.882,12267.584894064483,51.6251483019676,8.18993599583675,61.22202479,84.924,58.28358069561158
2011,Ireland,7.284,59797.05373434632,9.21023784264142,0.917110164037163,69.16682738,54.057,78.15033517528225
2011,Israel,7.199,39036.0247356871,19.8490631652087,1.9676021588745,70.60583022,92.651,71.26167528909001
2011,Italy,6.578,49473.01492356342,20.9109626019682,0.914393555930683,70.51863201,76.264,76.48993714455479
2011,Jamaica,6.208,9932.483809469626,19.9260997656634,41.0433859018324,64.02516696,74.916,66.1299253968254
2011,Japan,6.059,41640.660872125074,12.8987119186209,0.345052544691282,72.11954868,91.159,78.43885875823526
2011,Jordan,5.706,11988.496311081499,29.1117532656141,1.89828811842751,66.29735017,91.197,66.14229210593328
2011,Kazakhstan,5.594,27946.160343294392,20.658217702199,8.3206363060125,60.57142757,73.757,69.08647301587303
2011,Kenya,4.18,4307.106115568585,21.8008758316208,5.31122951314829,54.34378906,69.64,55.7781626984127
2011,Kosovo,5.42,8359.936214793357,,3.45991989727386,,,
2011,Kuwait,6.574,64844.501901940814,64.3121796188421,1.88329056827335,69.70496446,95.887,58.45833768823771
2011,Kyrgyzstan,4.828,,,,61.4557781,74.841,
2011,Lao PDR,5.161,5266.878669242057,28.6093615377909,,,,56.03000505952381
2011,Latvia,4.762,25308.732207462603,16.9893348621119,,64.37540666,58.209,78.07474125710893
2011,Lebanon,5.049,17353.19608452942,25.8236773224029,3.29669003490076,66.55678241,87.911,64.39204216763629
2011,Liberia,4.04,1601.0337404599568,21.4654808181205,3.81410073040029,51.70360633,54.932,47.47341752397929
2011,Libya,5.178,10741.920675190808,21.9932635411793,,61.77048815,75.216,55.04061938775511
